group_name,true_class,baseline_pred_class,baseline_confidence,source_image_path,sample_path
steak__pred_filet_mignon,steak,filet_mignon,0.805304,data/raw/food-101/images/steak/734445.jpg,/home/pavloops/PycharmProjects/pytorch_lightning_practice/final_project/data/samples/hard_cases/steak__pred_filet_mignon/00_734445.jpg
steak__pred_filet_mignon,steak,filet_mignon,0.798432,data/raw/food-101/images/steak/250978.jpg,/home/pavloops/PycharmProjects/pytorch_lightning_practice/final_project/data/samples/hard_cases/steak__pred_filet_mignon/01_250978.jpg
steak__pred_filet_mignon,steak,filet_mignon,0.785616,data/raw/food-101/images/steak/3693649.jpg,/home/pavloops/PycharmProjects/pytorch_lightning_practice/final_project/data/samples/hard_cases/steak__pred_filet_mignon/02_3693649.jpg
steak__pred_filet_mignon,steak,filet_mignon,0.750551,data/raw/food-101/images/steak/1563266.jpg,/home/pavloops/PycharmProjects/pytorch_lightning_practice/final_project/data/samples/hard_cases/steak__pred_filet_mignon/03_1563266.jpg
tuna_tartare__pred_beef_tartare,tuna_tartare,beef_tartare,0.935676,data/raw/food-101/images/tuna_tartare/3924200.jpg,/home/pavloops/PycharmProjects/pytorch_lightning_practice/final_project/data/samples/hard_cases/tuna_tartare__pred_beef_tartare/00_3924200.jpg
tuna_tartare__pred_beef_tartare,tuna_tartare,beef_tartare,0.931796,data/raw/food-101/images/tuna_tartare/3497857.jpg,/home/pavloops/PycharmProjects/pytorch_lightning_practice/final_project/data/samples/hard_cases/tuna_tartare__pred_beef_tartare/01_3497857.jpg
tuna_tartare__pred_beef_tartare,tuna_tartare,beef_tartare,0.931510,data/raw/food-101/images/tuna_tartare/841002.jpg,/home/pavloops/PycharmProjects/pytorch_lightning_practice/final_project/data/samples/hard_cases/tuna_tartare__pred_beef_tartare/02_841002.jpg
tuna_tartare__pred_beef_tartare,tuna_tartare,beef_tartare,0.849023,data/raw/food-101/images/tuna_tartare/1396812.jpg,/home/pavloops/PycharmProjects/pytorch_lightning_practice/final_project/data/samples/hard_cases/tuna_tartare__pred_beef_tartare/03_1396812.jpg
chocolate_cake__pred_chocolate_mousse,chocolate_cake,chocolate_mousse,0.951982,data/raw/food-101/images/chocolate_cake/503973.jpg,/home/pavloops/PycharmProjects/pytorch_lightning_practice/final_project/data/samples/hard_cases/chocolate_cake__pred_chocolate_mousse/00_503973.jpg
chocolate_cake__pred_chocolate_mousse,chocolate_cake,chocolate_mousse,0.853070,data/raw/food-101/images/chocolate_cake/272108.jpg,/home/pavloops/PycharmProjects/pytorch_lightning_practice/final_project/data/samples/hard_cases/chocolate_cake__pred_chocolate_mousse/01_272108.jpg
